q1,q2,q3,q4,q5,q6,q7,q29,q58,q65,q67,weight,stratum,psu
4,2,1,2,C E,1.73,61.69,1,1,1,2,0.892,103,16294
4,1,2,2,C,1.68,113.4,1,1,1,1,0.7032,103,16294
5,1,2,2,C,1.63,74.84,1,3,1,4,0.7032,103,16294
3,2,1,2,C,1.73,62.6,1,5,1,2,0.8453,103,16294
7,2,4,2,E,1.68,71.67,1,7,1,4,1.7727,103,16294
5,2,2,2,E,1.65,54.43,1,1,1,3,0.7834,103,16294
4,2,1,2,C,1.6,67.59,2,7,1,2,0.8453,103,16294
4,1,1,2,E,,,1,1,1,4,0.8614,103,16294
5,1,3,2,C,1.65,54.43,1,1,1,3,0.8148,103,16294
6,1,2,2,C,1.57,63.5,1,2,1,3,0.7032,103,16294
6,2,3,2,E,1.78,83.92,1,1,1,1,0.5081,103,16294
7,2,4,2,E,1.73,70.31,1,2,,,1.7727,103,16294
5,1,2,2,C,1.63,72.58,1,1,1,1,0.7032,103,16294
6,2,3,2,E,1.78,66.68,1,4,1,1,0.5081,103,16294
5,2,3,2,C,1.78,72.58,1,7,1,2,0.3029,103,16294
4,2,2,2,C,1.85,78.02,1,2,1,2,0.7872,103,16294
6,2,3,2,C,1.88,74.84,1,3,1,2,0.3029,103,16294
5,1,3,2,C,1.55,50.8,1,3,1,2,0.8148,103,16294
6,2,5,2,E,1.88,108.86,1,4,1,1,0.7834,103,16294
6,1,3,2,E,1.65,56.7,1,3,1,1,0.4727,103,16294
6,2,3,2,E,1.73,79.38,1,2,1,2,0.5081,103,16294
5,2,3,2,C,1.78,72.58,1,1,1,2,0.3029,103,16294
6,2,3,2,C,1.83,79.38,1,1,1,1,0.3029,103,16294
5,1,3,2,E,1.63,58.97,1,1,1,1,0.4727,103,16294
4,1,2,2,E,1.6,53.07,1,3,1,3,1.1759,103,16294
4,1,1,2,C,1.6,66.23,1,1,1,3,0.7896,103,16294
4,1,2,2,A C E,1.68,62.14,1,1,1,1,0.3213,103,16294
6,2,3,2,E,1.9,83.92,1,3,,3,0.5081,103,16294
5,2,3,2,E,1.85,89.81,1,1,1,3,0.5081,103,16294
5,2,2,2,C,1.75,97.52,1,1,1,1,0.7872,103,16294
3,1,1,2,E,1.5,54.43,1,1,1,1,0.8614,103,16294
4,1,1,2,C,1.65,72.58,3,1,3,1,0.7896,103,16294
4,2,1,2,E,1.78,54.89,1,1,1,2,0.892,103,16294
6,1,2,2,C,1.57,63.5,1,2,1,3,0.7032,103,16294
4,2,1,2,C,1.85,77.11,1,7,1,2,0.8453,103,16294
4,1,1,2,E,1.63,62.6,2,3,1,4,0.8614,103,16294
4,1,2,2,E,1.63,68.04,1,1,2,1,1.1759,103,16294
5,1,1,2,E,1.7,83.92,1,1,1,1,0.8614,103,16294
